,age,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,divorced,married,single,failure,other,success
0,58,3,0,2143,1,0,0,5,5,261,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,44,2,0,29,1,0,0,5,5,151,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2,33,2,0,2,1,1,0,5,5,76,1,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,47,2,0,1506,1,0,0,5,5,92,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,33,2,0,1,0,0,0,5,5,198,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,35,3,0,231,1,0,0,5,5,139,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
6,28,3,0,447,1,1,0,5,5,217,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
7,42,3,1,2,1,0,0,5,5,380,1,194,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,58,1,0,121,1,0,0,5,5,50,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
9,43,2,0,593,1,0,0,5,5,55,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
10,41,2,0,270,1,0,0,5,5,222,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11,29,2,0,390,1,0,0,5,5,137,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12,53,2,0,6,1,0,0,5,5,517,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
13,58,2,0,71,1,0,0,5,5,71,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
14,57,2,0,162,1,0,0,5,5,174,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
15,51,1,0,229,1,0,0,5,5,353,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
16,45,2,0,13,1,0,0,5,5,98,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17,57,1,0,52,1,0,0,5,5,38,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18,60,1,0,60,1,0,0,5,5,219,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
19,33,2,0,0,1,0,0,5,5,54,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
20,28,2,0,723,1,1,0,5,5,262,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
21,56,3,0,779,1,0,0,5,5,164,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
22,32,1,0,23,1,1,0,5,5,160,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,25,2,0,50,1,0,0,5,5,342,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
