,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,3.0,management,married,tertiary,no,2.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
1,2.0,technician,single,secondary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
2,1.0,entrepreneur,married,secondary,no,1.0,yes,yes,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
3,2.0,blue-collar,married,secondary,no,2.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
4,1.0,blue-collar,single,secondary,no,1.0,no,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
5,1.0,management,married,tertiary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
6,0.0,management,single,tertiary,no,1.0,yes,yes,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
7,2.0,entrepreneur,divorced,tertiary,yes,1.0,yes,no,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
8,3.0,retired,married,primary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
9,2.0,technician,single,secondary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
10,1.0,admin.,divorced,secondary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
11,0.0,admin.,single,secondary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
12,3.0,technician,married,secondary,no,1.0,yes,no,cellular,5,may,3.0,0.0,2.0,0.0,failure,no
13,3.0,technician,married,secondary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
14,3.0,services,married,secondary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
15,2.0,retired,married,primary,no,1.0,yes,no,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
16,2.0,admin.,single,secondary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
17,3.0,blue-collar,married,primary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
18,3.0,retired,married,primary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
19,1.0,services,married,secondary,no,1.0,yes,no,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
20,0.0,blue-collar,married,secondary,no,1.0,yes,yes,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
21,3.0,management,married,tertiary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
22,0.0,blue-collar,single,primary,no,1.0,yes,yes,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
23,0.0,services,married,secondary,no,1.0,yes,no,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
24,1.0,retired,married,primary,no,1.0,yes,yes,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
25,2.0,admin.,married,secondary,no,0.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
26,1.0,management,single,tertiary,no,1.0,yes,no,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
27,3.0,entrepreneur,married,secondary,no,1.0,yes,yes,cellular,5,may,0.0,0.0,2.0,0.0,failure,no
28,2.0,management,single,secondary,no,0.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
29,1.0,technician,single,secondary,no,1.0,yes,yes,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
30,3.0,technician,married,secondary,no,1.0,no,yes,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
31,2.0,management,married,tertiary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
32,3.0,admin.,married,secondary,no,1.0,yes,yes,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
33,3.0,blue-collar,married,secondary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
34,2.0,management,married,tertiary,no,4.0,yes,no,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
35,3.0,technician,divorced,secondary,no,1.0,yes,no,cellular,5,may,1.0,0.0,2.0,0.0,failure,no
36,0.0,blue-collar,married,secondary,no,1.0,yes,no,cellular,5,may,2.0,0.0,2.0,0.0,failure,no
